name,position,team,birthdate,school,height,weight,image,season,season_type,games_played,rushing_yards_avg,rushing_yards,carries,long_rush,rushing_tds,receptions,receiving_tds,long_rec,targets,receiving_yards,receiving_yards_avg,pass_attempts,passing_tds,passing_yards,interceptions,pass_completions,passing_yards_avg,qbr,rating,fg_made,fg_attempts,xp_made,xp_attempts,long_fg,fumbles,fumbles_lost,fumbles_recovered,def_td,defensive_interceptions,defensive_fumbles_recovered,defensive_sacks,pts_allowed_per_game,rushing_yards_allowed_per_game,passing_yards_allowed_per_game,total_yards_allowed_per_game,standard,half_ppr,ppr
New England Patriots,DEF,NE,1920-09-17,,,0,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ne.png,2025,regular_season,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,20,34,18.82352941,101.7058824,193.5294118,295.2352941,0,0,0
Buffalo Bills,DEF,BUF,1920-09-17,,,0,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/buf.png,2025,regular_season,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,14,36,21.47058824,136.1764706,156.9411765,293.1176471,0,0,0
Pittsburgh Steelers,DEF,PIT,1920-09-17,,,0,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/pit.png,2025,regular_season,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,20,48,22.76470588,113.0588235,243.8823529,356.9411765,0,0,0
Jacksonville Jaguars,DEF,JAX,1920-09-17,,,0,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/jax.png,2025,regular_season,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,15,32,19.76470588,85.58823529,218.0588235,303.6470588,0,0,0
Houston Texans,DEF,HOU,1920-09-17,,,0,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/hou.png,2025,regular_season,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,14,47,17.35294118,93.70588235,183.5294118,277.2352941,0,0,0
Denver Broncos,DEF,DEN,1920-09-17,,,0,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/den.png,2025,regular_season,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,7,68,18.29411765,91.05882353,187.1764706,278.2352941,0,0,0
Los Angeles Chargers,DEF,LAC,1920-09-17,,,0,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/lac.png,2025,regular_season,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,45,20,105.3529412,179.8823529,285.2352941,0,0,0
Philadelphia Eagles,DEF,PHI,1920-09-17,,,0,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/phi.png,2025,regular_season,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,15,42,19.11764706,124.4117647,189.7647059,314.1764706,0,0,0
Chicago Bears,DEF,CHI,1920-09-17,,,0,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/chi.png,2025,regular_season,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,21,35,24.41176471,134.5294118,227.2352941,361.7647059,0,0,0
Green Bay Packers,DEF,GB,1920-09-17,,,0,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/gb.png,2025,regular_season,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,36,21.17647059,117.7058824,194.1176471,311.8235294,0,0,0
Carolina Panthers,DEF,CAR,1920-09-17,,,0,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/car.png,2025,regular_season,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,14,30,22.35294118,123.2941176,203.9411765,327.2352941,0,0,0
Seattle Seahawks,DEF,SEA,1920-09-17,,,0,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/sea.png,2025,regular_season,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,17,47,17.17647059,91.94117647,193.9411765,285.8823529,0,0,0
Los Angeles Rams,DEF,LAR,1920-09-17,,,0,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/lar.png,2025,regular_season,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,13,47,20.35294118,110.8235294,216.7058824,327.5294118,0,0,0
San Francisco 49ers,DEF,SF,1920-09-17,,,0,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/sf.png,2025,regular_season,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,17,20,21.82352941,107.8235294,232.4117647,340.2352941,0,0,0
